customer_id,country,is_uk,high_value_user,pre_orders,pre_items,pre_revenue,pre_avg_basket,pre_recency_days,log_pre_orders,log_pre_revenue,treatment,conversion_30d,orders_30d,gmv_30d,coupon_targeted_obs,gmv_30d_obs
12347,Iceland,0,1,5,1590,2790.86,22.50693548387097,79,1.791759469228055,7.934463319358572,1,1,2,124.48688791256994,1,143.61159191978126
12352,Norway,0,1,7,409,2194.31,31.347285714285714,21,2.0794415416798357,7.694078545605581,0,1,3,198.96434835670166,1,215.20725970928473
12356,Portugal,0,1,2,1586,2753.08,48.29964912280702,195,1.0986122886681098,7.920838727523195,1,1,1,108.49009800868954,1,123.52507460288354
12358,Austria,0,0,1,100,484.86,40.405,100,0.6931471805599453,6.185920516557937,1,1,1,76.0346139198421,0,73.01245427429149
12362,Belgium,0,1,6,1417,2933.14,18.332124999999998,8,1.9459101490553132,7.984169673992619,0,1,4,169.65848772663247,1,188.53649857893325
12364,Belgium,0,0,2,736,703.72,19.547777777777778,27,1.0986122886681098,6.557800560801541,1,1,1,50.05916670436187,1,64.20844210132172
12371,Switzerland,0,1,1,582,1527.96,24.644516129032258,9,0.6931471805599453,7.33234304469739,1,1,1,64.54980644064744,0,70.1711122926688
12375,Finland,0,0,1,87,230.3,20.936363636363637,48,0.6931471805599453,5.443715569237393,1,0,0,0.0,1,7.298443749328051
12380,Belgium,0,1,3,812,1684.42,19.36114942528736,6,1.3862943611198906,7.429770069887045,0,0,0,0.0,1,23.548434870333423
12381,Norway,0,1,3,570,1279.24,19.988125,8,1.3862943611198906,7.1548028393377345,0,1,1,39.78433523401703,1,53.661804555119694
12384,Switzerland,0,0,1,62,292.69,20.90642857142857,71,0.6931471805599453,5.682524789276261,0,1,2,112.06002301385452,1,120.51413823605033
12388,Australia,0,1,5,1238,2494.26,27.11152173913044,25,1.791759469228055,7.822148211173133,1,1,2,127.80995223349407,1,144.71530768001145
12395,Belgium,0,1,9,1747,2246.25,19.878318584070797,16,2.302585092994046,7.7174625254535085,1,1,2,91.9706799593674,1,105.38384242364248
12397,Belgium,0,1,1,704,1214.81,17.35442857142857,85,0.6931471805599453,7.103165800317809,1,1,2,94.15206386530681,0,95.23002192884825
12406,Denmark,0,1,1,793,1621.25,33.08673469387755,133,0.6931471805599453,7.391569353501278,0,0,0,0.0,1,16.26779345314113
12407,Belgium,0,1,4,1237,1407.3600000000001,21.990000000000002,83,1.6094379124341003,7.250181185855144,0,1,1,64.27145141433127,1,78.03892135419734
12408,Belgium,0,1,4,1044,2134.0499999999997,26.024999999999995,48,1.6094379124341003,7.666245344592246,1,1,2,127.110502075331,1,152.16400061417798
12415,Australia,0,1,17,73836,118559.65,173.84112903225807,15,2.8903717578961645,11.683179922971025,0,1,7,2272.881459575519,1,2291.612150877273
12417,Belgium,0,1,7,1229,2816.52,19.03054054054054,56,2.0794415416798357,7.943612344380308,1,1,4,205.73949343255333,1,216.16659971389532
12421,Spain,0,0,3,407,628.56,17.459999999999997,64,1.3862943611198906,6.4450211626834,1,1,1,35.54992560799707,0,39.92428692313932
12423,Belgium,0,1,7,1136,1650.67,15.283981481481483,50,2.0794415416798357,7.409542176257413,1,1,2,72.45258344671487,1,88.29977845510075
12427,Germany,0,0,2,193,586.08,23.4432,9,1.0986122886681098,6.375161096742998,0,1,2,112.47903579441638,1,128.33559360608945
12428,Finland,0,1,8,3386,7548.12,27.054193548387097,70,2.1972245773362196,8.929186279158467,1,1,2,120.10999743604096,1,130.96327215906672
12429,Denmark,0,1,3,1045,2844.88,40.64114285714286,122,1.3862943611198906,7.953627613319531,1,1,1,80.96628017679116,1,96.0983370669483
12431,Australia,0,1,14,2570,5886.01,25.15388888888889,9,2.70805020110221,8.680503507684879,1,1,7,441.3816803122089,1,454.78711841765397
12432,Norway,0,1,3,1427,4016.66,52.85078947368421,120,1.3862943611198906,8.298454922580934,0,1,1,112.38206215247098,1,126.73293869082077
12433,Norway,0,1,3,5431,6395.23,28.04925438596491,41,1.3862943611198906,8.763464033282284,0,1,1,49.95036247020772,1,58.63916877618402
12437,France,0,1,12,1970,3034.0099999999998,27.089374999999997,27,2.5649493574615367,8.017969998381087,0,1,1,54.569514570586634,1,72.0249845780657
12438,Norway,0,0,1,586,890.0699999999999,18.16469387755102,90,0.6931471805599453,6.792422987796763,0,1,1,35.65913342012863,1,46.166919075225614
12444,Norway,0,1,4,913,4068.82,28.65366197183099,8,1.6094379124341003,8.311354051414414,1,1,2,155.08863072688467,1,176.79997242841546
12449,Belgium,0,1,3,1029,2724.58,20.640757575757576,41,1.3862943611198906,7.910436528485963,1,1,4,221.40263518479702,1,235.34248007287633
12451,Switzerland,0,1,3,5755,7847.38,26.601288135593222,15,1.3862943611198906,8.968062420052602,1,1,1,60.46445567554049,1,71.99341862605168
12456,Switzerland,0,1,2,1073,2265.4,26.34186046511628,80,1.0986122886681098,7.725947948516307,0,1,1,65.17729573064423,1,83.91306199830845
12462,Spain,0,0,1,287,762.11,19.05275,252,0.6931471805599453,6.637402188652131,0,0,0,0.0,0,0.0
12464,Belgium,0,0,6,81,780.55,37.16904761904762,56,1.9459101490553132,6.66127912734148,0,0,0,0.0,1,14.509907210503753
12465,Belgium,0,0,1,294,440.94,16.959230769230768,119,0.6931471805599453,6.091174126256959,0,1,1,43.57524804403425,1,58.072300028516466
12471,Germany,0,1,23,5683,14165.539999999999,44.54572327044025,15,3.1780538303479458,9.558638125027956,0,1,1,96.70460937825158,1,118.24828278505802
12472,Germany,0,1,6,4011,6304.03,19.161185410334344,1,1.9459101490553132,8.749103006516169,0,1,2,92.0056762220692,1,108.26541413014616
12473,Germany,0,1,3,2435,2884.23,17.586768292682926,3,1.3862943611198906,7.967359898468153,0,0,0,0.0,1,11.081021704413404
12474,Germany,0,1,16,4086,6197.06,17.31022346368715,0,2.833213344056216,8.731991618842947,1,1,5,233.83873666657038,1,248.49386302440257
12476,Germany,0,1,7,1317,3725.27,28.655923076923077,34,2.0794415416798357,8.223163012304278,0,1,3,189.10621059516146,1,205.3866239656367
12477,Germany,0,1,5,3180,11182.05,43.851176470588236,6,1.791759469228055,9.322154518090356,1,1,1,95.24523113691461,1,105.88438126578735
12480,Germany,0,1,3,1096,2144.95,18.81535087719298,93,1.3862943611198906,7.671337623757984,1,1,4,193.8855196942748,1,215.8842174278261
12481,Germany,0,1,9,3151,5409.5199999999995,26.387902439024387,15,2.302585092994046,8.596100485520905,0,1,3,180.81404825701756,1,198.29455326242882
12483,Sweden,0,1,6,792,1624.06,30.64264150943396,48,1.9459101490553132,7.393300017159121,1,1,4,294.2253362693531,1,302.87199853742106
12484,Spain,0,1,4,1859,3663.15,12.989893617021277,50,1.6094379124341003,8.206351663820678,1,0,0,0.0,1,25.297242058794662
12488,France,0,0,1,169,553.39,26.351904761904763,25,0.6931471805599453,6.317868410194978,0,0,0,0.0,1,8.58433565102106
12490,France,0,1,6,2010,3552.59,21.530848484848487,43,1.9459101490553132,8.175713639088478,0,1,5,243.7883578522045,1,251.2237395951046
12494,France,0,0,5,364,868.86,17.036470588235293,111,1.791759469228055,6.768332279159461,1,1,4,183.1845357065395,1,186.20301097005586
12498,Germany,0,0,1,69,247.25,19.01923076923077,7,0.6931471805599453,5.514436302925282,0,1,3,153.42057916055495,1,170.347280743547
12500,Germany,0,1,9,1900,2544.13,56.53622222222222,1,2.302585092994046,7.841937008230155,0,1,2,229.05455461558756,1,254.00446411288848
12517,Germany,0,1,3,1051,1955.9,9.448792270531401,23,1.3862943611198906,7.57911686747016,0,1,2,53.89896804914311,1,73.95587837002861
12518,Germany,0,1,3,806,1230.79,16.194605263157893,8,1.3862943611198906,7.116223675018984,1,1,5,224.4549677123225,1,246.37081960384532
12522,Germany,0,0,1,129,89.4,14.9,0,0.6931471805599453,4.504244267398131,1,1,1,29.392785774865718,1,44.69247852765738
12523,France,0,1,9,652,1299.13,16.4446835443038,13,2.302585092994046,7.170219538449961,1,1,6,282.66022042612417,1,300.00171734270856
12524,Germany,0,1,7,3589,4177.92,29.842285714285715,13,2.0794415416798357,8.337808118928953,1,1,7,498.6797654450804,1,514.654016171946
12526,Germany,0,0,2,544,1039.58,17.923793103448276,3,1.0986122886681098,6.947533528990549,0,1,2,81.83108304030831,1,93.07026220716796
12528,Germany,0,1,5,605,1561.88,19.523500000000002,13,1.791759469228055,7.354285552042231,1,1,1,49.24572933907126,1,67.66182199793103
