customer_id,high_value_user,is_uk,pre_recency_days,pred_treat,pred_control,cate_hat
12347,1,0,79,141.0030622045633,111.21143166577002,29.79163053879327
12352,1,0,21,223.72500268843535,131.53040990725754,92.19459278117782
12356,1,0,195,190.48288544793402,191.55959619446475,-1.076710746530722
12358,0,0,100,129.91438791533423,132.23836009221114,-2.3239721768769073
12362,1,0,8,120.66875461661213,102.45244051446302,18.216314102149113
12364,0,0,27,81.39750769948152,50.29720915405814,31.100298545423385
12371,1,0,9,111.78969616897497,73.35564865905731,38.43404750991766
12375,0,0,48,64.42343752856426,45.39366609937391,19.029771429190355
12380,1,0,6,102.91326263405348,61.33995292809946,41.573309705954024
12381,1,0,8,107.66562865864174,65.77301988294073,41.89260877570101
12384,0,0,71,65.73741454097049,50.74438723119922,14.993027309771271
12388,1,0,25,179.43149750729918,105.15794847684228,74.2735490304569
12395,1,0,16,129.73004679018504,106.06153308780743,23.66851370237761
12397,1,0,85,103.82169767117814,60.648993574405516,43.17270409677263
12406,1,0,133,127.90632965396576,83.98572753124108,43.920602122724674
12407,1,0,83,107.26795240377601,67.7790100656381,39.4889423381379
12408,1,0,48,142.91598832121682,64.20869840198847,78.70728991922834
12415,1,0,15,1823.244866433197,894.9639850188654,928.2808814143317
12417,1,0,56,123.85243189215687,92.58425056470857,31.268181327448303
12421,0,0,64,81.9459028373675,63.53062645290396,18.41527638446354
12423,1,0,50,85.66719236669366,72.26316045928051,13.404031907413142
12427,0,0,9,96.55623749658744,60.465719569439095,36.09051792714835
12428,1,0,70,241.45438527462375,136.69963329890794,104.7547519757158
12429,1,0,122,153.42320625827125,175.8840683357811,-22.46086207750986
12431,1,0,9,269.95544119975165,163.37757791344288,106.57786328630877
12432,1,0,120,261.4625408012718,199.25162220141638,62.21091859985543
12433,1,0,41,177.28957308312857,194.66762050609105,-17.37804742296248
12437,1,0,27,221.19492293719756,148.31366348910984,72.88125944808772
12438,0,0,90,85.08865352557572,57.84231771540457,27.246335810171153
12444,1,0,8,181.01780311976287,123.0932060727739,57.92459704698898
12449,1,0,41,101.7631833200626,66.27449787243698,35.48868544762561
12451,1,0,15,181.55107654622657,264.60101249591685,-83.04993594969028
12456,1,0,80,123.45463089547695,71.24460448212041,52.210026413356545
12462,0,0,252,84.8180455057296,48.79963400878298,36.01841149694662
12464,0,0,56,184.8332729870561,101.66380671151758,83.16946627553851
12465,0,0,119,73.96971044223152,56.37711748725173,17.592592954979786
12471,1,0,15,425.1994818460797,524.4753217973833,-99.27583995130362
12472,1,0,1,156.82220169493453,107.9696279687841,48.85257372615044
12473,1,0,3,105.38408747834455,70.57672600476837,34.80736147357618
